project,SHA,prev SHA,unsafe algos,post inspection,reason
sling-org-apache-sling-feature,ecec4f853f36df390e9f6dd61fea80eea9a32be0,9958526ed2b81f0a7fe7b5156903f6d86e936d16,ALL8,FALSE +VE,eMOP first found the violation so it is not new. REASON:VMS_LIMITATION
soapstone,145a4bf7c99cf768a671e5c874bd6db7b26a3aff,60bd7d5cc1b515db30258a23c4949fc9b3964648,ALL8,FALSE +VE,MOP did not produce any new violations. This violation was also later missed by MOP but found by VMS. REASON:NON_DETERMINISM
soapstone,25916d170800b4ba3946b7469317ddd7442e303a,821d1cf9581ecc2e170ab6775b7d637c27669671,ALL8,FALSE +VE,CLASSES found in the past. REASON:VMS_LIMITATION
soapstone,71328521eae87bd7c3deef00b15a1de1fa2c0628,8841e30d9c1267941f5c7a54399eb20a5b63e65d,ALL8,FALSE +VE,CLASSES found in the past. REASON:VMS_LIMITATION
soapstone,821d1cf9581ecc2e170ab6775b7d637c27669671,71328521eae87bd7c3deef00b15a1de1fa2c0628,ALL8,TRUE +VE,Missed violation in 3rd party library. REASON:INCOMPLETE_CDG
soapstone,f78f52ff7455e09fa03bb8cd7c071268cb0e3998,11100798e0c0f2a8a84e26c7c31aa104311f0480,ALL8,FALSE +VE,eMOP first SHA did not find the violation. Indicating non-determinism. REASON:NON_DETERMINISM
sonar-clojure,6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,9935c60ac67a3353a565ad6b2241ffaf051421a8,ALL8,TRUE +VE,Missed violation in 3rd party library. REASON:INCOMPLETE_CDG
time-series-math,c2fa911b,2a3c92b8,METHODS-FA,TRUE +VE,Implementation problem of FA. Correctly identified the set of impacted method but failed to report violation. REASON:IMPLEMENTATION_PROBLEM
wd.java,08d937a1ae7c23f2354d3003d8d169311d543cff,12e7c5cbcbc76a65dd2a5ceb6a8fa4496cb21e0f,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
wd.java,1dd870054b9a73a0e87d77b826979a023238a7c7,N/A,ALL8,FALSE +VE,First SHA did not find the violation. Indicating non-determinism. REASON:NON_DETERMINISM
wd.java,44dab47ae2970887199351667189948a8932c27e,9b2768ccaf4ef95abc4baf78979a796dc9e40eaa,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
wd.java,6ac8292c7a8e4a4746940d96f73d63e79ff36a5e,c324ab452e83a4ddd9694344700834f11c77f99e,ALL8,FALSE +VE,VMS reports an old violation. REASON:VMS_LIMITATION
wd.java,7c8c18bbb85ae2f6e93e5b041de4f8c861698c98,e5a5c99331cb8f011f1a8c3ec7e2e129bb2f4e38,ALL8,FALSE +VE,VMS reports an old violation. REASON:VMS_LIMITATION
wd.java,95b2eb2686d6bc0886f9f20454b4b702128c8342,1dd870054b9a73a0e87d77b826979a023238a7c7,HyRTS-S METHODS-S METHODS-F METHODS-FA,FALSE +VE,VMS reports an old violation. REASON:VMS_LIMITATION
wd.java,b380cc3fc099c376c54ed454c25cc4763464f5be,d5aaa7cc8bc307512bd66efad25f58d389e2772b,ALL8,FALSE +VE,VMS reports an old violation. REASON:VMS_LIMITATION
wd.java,c324ab452e83a4ddd9694344700834f11c77f99e,aa95ba9102dbfb5b7e0d6bbbb1425a7ba06c6f6d,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
