project,type,commit,variant,spec,location,inspected,in_library
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS-F_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS-FA_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
dnsjava,FineMOP-eMOP,259ea0d6,FINE_ps3cl,Collection_UnsafeIterator,org.xbill.DNS.NioTcpClient.checkTransactionTimeouts(NioTcpClient.java:54).,FALSE +VE,true
rxjava2-file,FineMOP-eMOP,3e34b55f92e41bd052830dc67eb2224dc4407985,HyRTS_ps1c,Closeable_MultipleClose,com.github.davidmoten.rx.internal.operators.OnSubscribeWatchServiceEvents.nextKey(OnSubscribeWatchServiceEvents.java:111).,FALSE +VE,false
rxjava2-file,eMOP-FineMOP,e26b35b55a963d8379e5c2cf1104bd5a86afeca3,METHODS-FA_ps1c,Closeable_MultipleClose,com.github.davidmoten.rx.internal.operators.OnSubscribeWatchServiceEvents$2.call(OnSubscribeWatchServiceEvents.java:126).,FALSE +VE,false
rxjava2-file,eMOP-FineMOP,e26b35b55a963d8379e5c2cf1104bd5a86afeca3,METHODS-F_ps3cl,Closeable_MultipleClose,com.github.davidmoten.rx.internal.operators.OnSubscribeWatchServiceEvents$2.call(OnSubscribeWatchServiceEvents.java:126).,FALSE +VE,false
rxjava2-file,eMOP-FineMOP,e26b35b55a963d8379e5c2cf1104bd5a86afeca3,METHODS-FA_ps3cl,Closeable_MultipleClose,com.github.davidmoten.rx.internal.operators.OnSubscribeWatchServiceEvents$2.call(OnSubscribeWatchServiceEvents.java:126).,FALSE +VE,false
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-S_ps1c,Iterator_HasNext,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:126).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-S_ps1c,Iterator_HasNext,liquibase.database.DatabaseFactory.getImplementedDatabases(DatabaseFactory.java:70).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-S_ps1c,SortedSet_Comparable,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:108).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-S_ps1c,SortedSet_Comparable,liquibase.database.DatabaseFactory.register(DatabaseFactory.java:98).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-S_ps1c,TreeSet_Comparable,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:108).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-S_ps1c,TreeSet_Comparable,liquibase.database.DatabaseFactory.register(DatabaseFactory.java:98).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-F_ps1c,Iterator_HasNext,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:126).,TRUE +VE,true
